frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
0,0,0,1,203,red,5075,T30
1,0,0,1,203,red,5075,T30
2,0,0,1,203,red,5075,T30
3,0,0,1,203,red,5075,T30
4,0,0,1,203,red,5075,T30
5,0,0,1,203,red,5075,T30
6,0,0,1,203,red,5075,T30
7,0,0,1,203,red,5075,T30
8,0,0,1,203,red,5075,T30
9,0,0,1,203,red,5075,T30
10,0,0,1,203,red,5075,T30
11,0,0,1,203,red,5075,T30
12,0,0,1,203,red,5075,T30
13,0,0,1,203,red,5075,T30
14,0,0,1,203,red,5075,T30
15,0,0,1,203,red,5075,T30
16,0,0,1,203,red,5075,T30
17,0,0,1,203,red,5075,T30
18,0,0,1,203,red,5075,T30
19,0,0,1,203,red,5075,T30
20,0,0,1,203,red,5075,T30
21,0,0,1,203,red,5075,T30
22,0,1,0,203,red,5075,T30
23,0,1,0,203,red,5075,T30
24,0,1,0,203,red,5075,T30
25,0,1,0,203,red,5075,T30
26,0,1,0,203,red,5075,T30
27,0,1,0,203,red,5075,T30
28,0,0,1,203,red,5075,T30
29,0,0,1,203,red,5075,T30
30,1,0,0,203,red,5075,T30
31,1,0,0,203,red,5075,T30
32,1,0,0,203,red,5075,T30
33,1,0,0,203,red,5075,T30
34,1,0,0,203,red,5075,T30
35,1,0,0,203,red,5075,T30
36,1,0,0,203,red,5075,T30
37,1,0,0,203,red,5075,T30
38,1,0,0,203,red,5075,T30
39,1,0,0,203,red,5075,T30
40,1,0,0,203,red,5075,T30
41,1,0,0,203,red,5075,T30
42,1,0,0,203,red,5075,T30
43,1,0,0,203,red,5075,T30
44,1,0,0,203,red,5075,T30
45,1,0,0,203,red,5075,T30
46,1,0,0,203,red,5075,T30
47,1,0,0,203,red,5075,T30
48,1,0,0,203,red,5075,T30
49,1,0,0,203,red,5075,T30
50,1,0,0,203,red,5075,T30
51,1,0,0,203,red,5075,T30
52,1,0,0,203,red,5075,T30
53,1,0,0,203,red,5075,T30
54,1,0,0,203,red,5075,T30
55,1,0,0,203,red,5075,T30
56,1,0,0,203,red,5075,T30
57,1,0,0,203,red,5075,T30
58,1,0,0,203,red,5075,T30
59,1,0,0,203,red,5075,T30
60,1,0,0,203,red,5075,T30
61,1,0,0,203,red,5075,T30
62,1,0,0,203,red,5075,T30
63,1,0,0,203,red,5075,T30
64,1,0,0,203,red,5075,T30
65,1,0,0,203,red,5075,T30
66,1,0,0,203,red,5075,T30
67,1,0,0,203,red,5075,T30
68,1,0,0,203,red,5075,T30
69,1,0,0,203,red,5075,T30
70,1,0,0,203,red,5075,T30
71,1,0,0,203,red,5075,T30
72,1,0,0,203,red,5075,T30
73,1,0,0,203,red,5075,T30
74,1,0,0,203,red,5075,T30
75,1,0,0,203,red,5075,T30
76,1,0,0,203,red,5075,T30
77,1,0,0,203,red,5075,T30
78,1,0,0,203,red,5075,T30
79,1,0,0,203,red,5075,T30
80,1,0,0,203,red,5075,T30
81,1,0,0,203,red,5075,T30
82,1,0,0,203,red,5075,T30
83,1,0,0,203,red,5075,T30
84,1,0,0,203,red,5075,T30
85,1,0,0,203,red,5075,T30
86,1,0,0,203,red,5075,T30
87,1,0,0,203,red,5075,T30
88,1,0,0,203,red,5075,T30
89,1,0,0,203,red,5075,T30
90,1,0,0,203,red,5075,T30
91,1,0,0,203,red,5075,T30
92,1,0,0,203,red,5075,T30
93,1,0,0,203,red,5075,T30
94,1,0,0,203,red,5075,T30
95,1,0,0,203,red,5075,T30
96,1,0,0,203,red,5075,T30
97,1,0,0,203,red,5075,T30
98,1,0,0,203,red,5075,T30
99,1,0,0,203,red,5075,T30
100,1,0,0,203,red,5075,T30
101,1,0,0,203,red,5075,T30
102,1,0,0,203,red,5075,T30
103,1,0,0,203,red,5075,T30
104,1,0,0,203,red,5075,T30
105,1,0,0,203,red,5075,T30
106,1,0,0,203,red,5075,T30
107,1,0,0,203,red,5075,T30
108,1,0,0,203,red,5075,T30
109,1,0,0,203,red,5075,T30
110,1,0,0,203,red,5075,T30
111,1,0,0,203,red,5075,T30
112,1,0,0,203,red,5075,T30
113,1,0,0,203,red,5075,T30
114,1,0,0,203,red,5075,T30
115,1,0,0,203,red,5075,T30
116,1,0,0,203,red,5075,T30
117,1,0,0,203,red,5075,T30
118,1,0,0,203,red,5075,T30
119,1,0,0,203,red,5075,T30
120,1,0,0,203,red,5075,T30
121,1,0,0,203,red,5075,T30
122,1,0,0,203,red,5075,T30
123,1,0,0,203,red,5075,T30
124,1,0,0,203,red,5075,T30
125,1,0,0,203,red,5075,T30
126,1,0,0,203,red,5075,T30
127,1,0,0,203,red,5075,T30
0,0,0,1,204,red,3812,T30
1,0,0,1,204,red,3812,T30
2,0,0,1,204,red,3812,T30
3,0,0,1,204,red,3812,T30
4,0,0,1,204,red,3812,T30
5,0,0,1,204,red,3812,T30
6,0,0,1,204,red,3812,T30
7,0,0,1,204,red,3812,T30
8,0,0,1,204,red,3812,T30
9,0,0,1,204,red,3812,T30
10,0,0,1,204,red,3812,T30
11,0,0,1,204,red,3812,T30
12,0,0,1,204,red,3812,T30
13,0,0,1,204,red,3812,T30
14,0,0,1,204,red,3812,T30
15,0,0,1,204,red,3812,T30
16,0,0,1,204,red,3812,T30
17,0,0,1,204,red,3812,T30
18,0,0,1,204,red,3812,T30
19,0,0,1,204,red,3812,T30
20,0,0,1,204,red,3812,T30
21,0,0,1,204,red,3812,T30
22,0,0,1,204,red,3812,T30
23,1,0,0,204,red,3812,T30
24,1,0,0,204,red,3812,T30
25,1,0,0,204,red,3812,T30
26,1,0,0,204,red,3812,T30
27,1,0,0,204,red,3812,T30
28,1,0,0,204,red,3812,T30
29,1,0,0,204,red,3812,T30
30,1,0,0,204,red,3812,T30
31,1,0,0,204,red,3812,T30
32,1,0,0,204,red,3812,T30
33,1,0,0,204,red,3812,T30
34,1,0,0,204,red,3812,T30
35,1,0,0,204,red,3812,T30
36,1,0,0,204,red,3812,T30
37,1,0,0,204,red,3812,T30
38,1,0,0,204,red,3812,T30
39,1,0,0,204,red,3812,T30
40,1,0,0,204,red,3812,T30
41,1,0,0,204,red,3812,T30
42,1,0,0,204,red,3812,T30
43,1,0,0,204,red,3812,T30
44,1,0,0,204,red,3812,T30
45,1,0,0,204,red,3812,T30
46,1,0,0,204,red,3812,T30
47,1,0,0,204,red,3812,T30
48,1,0,0,204,red,3812,T30
49,1,0,0,204,red,3812,T30
50,1,0,0,204,red,3812,T30
51,1,0,0,204,red,3812,T30
52,1,0,0,204,red,3812,T30
53,1,0,0,204,red,3812,T30
54,1,0,0,204,red,3812,T30
55,1,0,0,204,red,3812,T30
56,1,0,0,204,red,3812,T30
57,1,0,0,204,red,3812,T30
58,1,0,0,204,red,3812,T30
59,1,0,0,204,red,3812,T30
60,1,0,0,204,red,3812,T30
61,1,0,0,204,red,3812,T30
62,1,0,0,204,red,3812,T30
63,1,0,0,204,red,3812,T30
64,1,0,0,204,red,3812,T30
65,1,0,0,204,red,3812,T30
66,1,0,0,204,red,3812,T30
67,1,0,0,204,red,3812,T30
68,1,0,0,204,red,3812,T30
69,1,0,0,204,red,3812,T30
