frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
87,0,1,0,5,green,293,T1A
0,0,0,1,6,green,332,T1A
1,0,0,1,6,green,332,T1A
2,0,0,1,6,green,332,T1A
3,0,0,1,6,green,332,T1A
4,0,0,1,6,green,332,T1A
5,0,0,1,6,green,332,T1A
6,0,0,1,6,green,332,T1A
7,0,0,1,6,green,332,T1A
8,0,0,1,6,green,332,T1A
9,0,0,1,6,green,332,T1A
10,0,0,1,6,green,332,T1A
11,0,0,1,6,green,332,T1A
12,0,0,1,6,green,332,T1A
13,0,0,1,6,green,332,T1A
14,0,0,1,6,green,332,T1A
15,0,0,1,6,green,332,T1A
16,0,0,1,6,green,332,T1A
17,0,0,1,6,green,332,T1A
18,0,0,1,6,green,332,T1A
19,0,0,1,6,green,332,T1A
20,0,0,1,6,green,332,T1A
21,0,0,1,6,green,332,T1A
22,0,0,1,6,green,332,T1A
23,0,0,1,6,green,332,T1A
24,0,0,1,6,green,332,T1A
25,0,0,1,6,green,332,T1A
26,0,0,1,6,green,332,T1A
27,0,0,1,6,green,332,T1A
28,0,0,1,6,green,332,T1A
29,0,0,1,6,green,332,T1A
30,0,0,1,6,green,332,T1A
31,0,0,1,6,green,332,T1A
32,0,0,1,6,green,332,T1A
33,0,0,1,6,green,332,T1A
34,0,0,1,6,green,332,T1A
35,0,0,1,6,green,332,T1A
36,0,0,1,6,green,332,T1A
37,0,0,1,6,green,332,T1A
38,0,0,1,6,green,332,T1A
39,0,0,1,6,green,332,T1A
40,0,0,1,6,green,332,T1A
41,0,0,1,6,green,332,T1A
42,0,0,1,6,green,332,T1A
43,0,0,1,6,green,332,T1A
44,0,0,1,6,green,332,T1A
45,0,0,1,6,green,332,T1A
46,0,0,1,6,green,332,T1A
47,0,0,1,6,green,332,T1A
48,0,0,1,6,green,332,T1A
49,0,0,1,6,green,332,T1A
50,0,0,1,6,green,332,T1A
51,0,0,1,6,green,332,T1A
52,0,0,1,6,green,332,T1A
53,0,0,1,6,green,332,T1A
54,0,0,1,6,green,332,T1A
55,0,0,1,6,green,332,T1A
56,0,0,1,6,green,332,T1A
57,0,0,1,6,green,332,T1A
58,0,1,0,6,green,332,T1A
59,0,1,0,6,green,332,T1A
60,0,1,0,6,green,332,T1A
61,0,1,0,6,green,332,T1A
62,0,1,0,6,green,332,T1A
63,0,1,0,6,green,332,T1A
64,0,1,0,6,green,332,T1A
65,0,1,0,6,green,332,T1A
66,0,1,0,6,green,332,T1A
67,0,1,0,6,green,332,T1A
68,0,1,0,6,green,332,T1A
69,0,1,0,6,green,332,T1A
70,0,1,0,6,green,332,T1A
71,0,1,0,6,green,332,T1A
72,0,1,0,6,green,332,T1A
73,0,1,0,6,green,332,T1A
74,0,1,0,6,green,332,T1A
75,0,1,0,6,green,332,T1A
76,0,1,0,6,green,332,T1A
77,0,1,0,6,green,332,T1A
78,0,1,0,6,green,332,T1A
79,0,1,0,6,green,332,T1A
80,0,1,0,6,green,332,T1A
81,0,1,0,6,green,332,T1A
82,0,1,0,6,green,332,T1A
83,0,1,0,6,green,332,T1A
84,0,1,0,6,green,332,T1A
85,0,1,0,6,green,332,T1A
86,0,1,0,6,green,332,T1A
87,0,1,0,6,green,332,T1A
0,0,0,1,7,green,334,T1A
1,0,0,1,7,green,334,T1A
2,0,0,1,7,green,334,T1A
3,0,0,1,7,green,334,T1A
4,0,0,1,7,green,334,T1A
5,0,0,1,7,green,334,T1A
6,0,0,1,7,green,334,T1A
7,0,0,1,7,green,334,T1A
8,1,0,0,7,green,334,T1A
9,1,0,0,7,green,334,T1A
10,1,0,0,7,green,334,T1A
11,1,0,0,7,green,334,T1A
12,1,0,0,7,green,334,T1A
