frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
47,1,0,0,169,red,1916,T23
48,1,0,0,169,red,1916,T23
49,1,0,0,169,red,1916,T23
50,1,0,0,169,red,1916,T23
51,1,0,0,169,red,1916,T23
52,1,0,0,169,red,1916,T23
53,1,0,0,169,red,1916,T23
54,1,0,0,169,red,1916,T23
55,1,0,0,169,red,1916,T23
56,1,0,0,169,red,1916,T23
57,1,0,0,169,red,1916,T23
58,1,0,0,169,red,1916,T23
59,1,0,0,169,red,1916,T23
60,1,0,0,169,red,1916,T23
61,1,0,0,169,red,1916,T23
62,1,0,0,169,red,1916,T23
63,1,0,0,169,red,1916,T23
64,1,0,0,169,red,1916,T23
65,1,0,0,169,red,1916,T23
66,1,0,0,169,red,1916,T23
67,1,0,0,169,red,1916,T23
68,1,0,0,169,red,1916,T23
69,1,0,0,169,red,1916,T23
70,1,0,0,169,red,1916,T23
71,1,0,0,169,red,1916,T23
72,1,0,0,169,red,1916,T23
73,1,0,0,169,red,1916,T23
74,1,0,0,169,red,1916,T23
75,1,0,0,169,red,1916,T23
76,1,0,0,169,red,1916,T23
77,1,0,0,169,red,1916,T23
78,1,0,0,169,red,1916,T23
79,1,0,0,169,red,1916,T23
80,1,0,0,169,red,1916,T23
81,1,0,0,169,red,1916,T23
82,1,0,0,169,red,1916,T23
83,1,0,0,169,red,1916,T23
84,1,0,0,169,red,1916,T23
85,1,0,0,169,red,1916,T23
86,1,0,0,169,red,1916,T23
87,1,0,0,169,red,1916,T23
88,1,0,0,169,red,1916,T23
89,1,0,0,169,red,1916,T23
90,1,0,0,169,red,1916,T23
91,1,0,0,169,red,1916,T23
92,1,0,0,169,red,1916,T23
93,1,0,0,169,red,1916,T23
94,1,0,0,169,red,1916,T23
95,1,0,0,169,red,1916,T23
96,1,0,0,169,red,1916,T23
97,1,0,0,169,red,1916,T23
98,1,0,0,169,red,1916,T23
99,1,0,0,169,red,1916,T23
100,1,0,0,169,red,1916,T23
101,1,0,0,169,red,1916,T23
102,1,0,0,169,red,1916,T23
103,1,0,0,169,red,1916,T23
104,1,0,0,169,red,1916,T23
105,1,0,0,169,red,1916,T23
106,1,0,0,169,red,1916,T23
107,1,0,0,169,red,1916,T23
108,1,0,0,169,red,1916,T23
109,1,0,0,169,red,1916,T23
110,1,0,0,169,red,1916,T23
111,1,0,0,169,red,1916,T23
112,1,0,0,169,red,1916,T23
113,1,0,0,169,red,1916,T23
114,1,0,0,169,red,1916,T23
115,1,0,0,169,red,1916,T23
116,1,0,0,169,red,1916,T23
117,1,0,0,169,red,1916,T23
118,1,0,0,169,red,1916,T23
119,1,0,0,169,red,1916,T23
120,1,0,0,169,red,1916,T23
121,1,0,0,169,red,1916,T23
122,1,0,0,169,red,1916,T23
123,1,0,0,169,red,1916,T23
124,1,0,0,169,red,1916,T23
125,1,0,0,169,red,1916,T23
126,1,0,0,169,red,1916,T23
127,1,0,0,169,red,1916,T23
0,0,0,1,170,red,1945,T23
1,0,0,1,170,red,1945,T23
2,0,0,1,170,red,1945,T23
3,0,0,1,170,red,1945,T23
4,0,0,1,170,red,1945,T23
5,0,0,1,170,red,1945,T23
6,0,0,1,170,red,1945,T23
7,0,0,1,170,red,1945,T23
8,0,0,1,170,red,1945,T23
9,0,0,1,170,red,1945,T23
10,0,0,1,170,red,1945,T23
11,0,0,1,170,red,1945,T23
12,0,0,1,170,red,1945,T23
13,0,0,1,170,red,1945,T23
14,0,0,1,170,red,1945,T23
15,0,0,1,170,red,1945,T23
16,0,0,1,170,red,1945,T23
17,0,0,1,170,red,1945,T23
18,0,0,1,170,red,1945,T23
19,0,0,1,170,red,1945,T23
20,0,0,1,170,red,1945,T23
21,0,0,1,170,red,1945,T23
22,0,0,1,170,red,1945,T23
23,0,0,1,170,red,1945,T23
24,0,0,1,170,red,1945,T23
25,0,0,1,170,red,1945,T23
26,0,0,1,170,red,1945,T23
27,0,0,1,170,red,1945,T23
28,0,0,1,170,red,1945,T23
29,0,0,1,170,red,1945,T23
30,0,0,1,170,red,1945,T23
31,0,0,1,170,red,1945,T23
32,0,0,1,170,red,1945,T23
33,0,0,1,170,red,1945,T23
34,0,0,1,170,red,1945,T23
35,0,0,1,170,red,1945,T23
36,0,0,1,170,red,1945,T23
37,1,0,0,170,red,1945,T23
38,1,0,0,170,red,1945,T23
39,1,0,0,170,red,1945,T23
40,1,0,0,170,red,1945,T23
41,1,0,0,170,red,1945,T23
42,1,0,0,170,red,1945,T23
43,1,0,0,170,red,1945,T23
44,1,0,0,170,red,1945,T23
45,1,0,0,170,red,1945,T23
46,1,0,0,170,red,1945,T23
47,1,0,0,170,red,1945,T23
48,1,0,0,170,red,1945,T23
49,1,0,0,170,red,1945,T23
50,1,0,0,170,red,1945,T23
51,1,0,0,170,red,1945,T23
52,1,0,0,170,red,1945,T23
53,1,0,0,170,red,1945,T23
54,1,0,0,170,red,1945,T23
55,1,0,0,170,red,1945,T23
56,1,0,0,170,red,1945,T23
57,1,0,0,170,red,1945,T23
58,1,0,0,170,red,1945,T23
59,1,0,0,170,red,1945,T23
60,1,0,0,170,red,1945,T23
61,1,0,0,170,red,1945,T23
62,1,0,0,170,red,1945,T23
63,1,0,0,170,red,1945,T23
64,1,0,0,170,red,1945,T23
65,1,0,0,170,red,1945,T23
66,1,0,0,170,red,1945,T23
67,1,0,0,170,red,1945,T23
68,1,0,0,170,red,1945,T23
69,1,0,0,170,red,1945,T23
70,1,0,0,170,red,1945,T23
71,1,0,0,170,red,1945,T23
72,1,0,0,170,red,1945,T23
73,1,0,0,170,red,1945,T23
74,1,0,0,170,red,1945,T23
75,1,0,0,170,red,1945,T23
76,1,0,0,170,red,1945,T23
77,1,0,0,170,red,1945,T23
78,1,0,0,170,red,1945,T23
79,1,0,0,170,red,1945,T23
80,1,0,0,170,red,1945,T23
81,1,0,0,170,red,1945,T23
82,1,0,0,170,red,1945,T23
83,1,0,0,170,red,1945,T23
84,1,0,0,170,red,1945,T23
85,1,0,0,170,red,1945,T23
86,1,0,0,170,red,1945,T23
87,1,0,0,170,red,1945,T23
88,1,0,0,170,red,1945,T23
89,1,0,0,170,red,1945,T23
90,1,0,0,170,red,1945,T23
91,1,0,0,170,red,1945,T23
92,1,0,0,170,red,1945,T23
93,1,0,0,170,red,1945,T23
94,1,0,0,170,red,1945,T23
95,1,0,0,170,red,1945,T23
96,1,0,0,170,red,1945,T23
97,1,0,0,170,red,1945,T23
98,1,0,0,170,red,1945,T23
99,1,0,0,170,red,1945,T23
100,1,0,0,170,red,1945,T23
101,1,0,0,170,red,1945,T23
102,1,0,0,170,red,1945,T23
103,1,0,0,170,red,1945,T23
104,1,0,0,170,red,1945,T23
105,1,0,0,170,red,1945,T23
106,1,0,0,170,red,1945,T23
107,1,0,0,170,red,1945,T23
108,1,0,0,170,red,1945,T23
109,1,0,0,170,red,1945,T23
110,1,0,0,170,red,1945,T23
111,1,0,0,170,red,1945,T23
112,1,0,0,170,red,1945,T23
113,1,0,0,170,red,1945,T23
114,1,0,0,170,red,1945,T23
115,1,0,0,170,red,1945,T23
116,1,0,0,170,red,1945,T23
117,1,0,0,170,red,1945,T23
118,1,0,0,170,red,1945,T23
119,1,0,0,170,red,1945,T23
120,1,0,0,170,red,1945,T23
121,1,0,0,170,red,1945,T23
122,1,0,0,170,red,1945,T23
123,1,0,0,170,red,1945,T23
124,1,0,0,170,red,1945,T23
125,1,0,0,170,red,1945,T23
126,1,0,0,170,red,1945,T23
127,1,0,0,170,red,1945,T23
0,0,0,1,171,red,1989,T23
1,0,0,1,171,red,1989,T23
2,0,0,1,171,red,1989,T23
3,0,0,1,171,red,1989,T23
4,0,0,1,171,red,1989,T23
5,0,0,1,171,red,1989,T23
6,0,0,1,171,red,1989,T23
7,0,0,1,171,red,1989,T23
8,0,0,1,171,red,1989,T23
9,0,0,1,171,red,1989,T23
10,0,0,1,171,red,1989,T23
11,0,0,1,171,red,1989,T23
12,0,0,1,171,red,1989,T23
13,0,0,1,171,red,1989,T23
14,0,0,1,171,red,1989,T23
15,0,0,1,171,red,1989,T23
16,0,0,1,171,red,1989,T23
17,0,0,1,171,red,1989,T23
18,0,0,1,171,red,1989,T23
19,0,0,1,171,red,1989,T23
20,0,0,1,171,red,1989,T23
21,0,0,1,171,red,1989,T23
22,0,0,1,171,red,1989,T23
23,0,0,1,171,red,1989,T23
24,0,0,1,171,red,1989,T23
25,0,0,1,171,red,1989,T23
26,1,0,0,171,red,1989,T23
27,1,0,0,171,red,1989,T23
28,1,0,0,171,red,1989,T23
29,1,0,0,171,red,1989,T23
30,1,0,0,171,red,1989,T23
31,1,0,0,171,red,1989,T23
32,1,0,0,171,red,1989,T23
33,1,0,0,171,red,1989,T23
34,1,0,0,171,red,1989,T23
35,1,0,0,171,red,1989,T23
36,1,0,0,171,red,1989,T23
37,1,0,0,171,red,1989,T23
38,1,0,0,171,red,1989,T23
39,1,0,0,171,red,1989,T23
40,1,0,0,171,red,1989,T23
41,1,0,0,171,red,1989,T23
42,1,0,0,171,red,1989,T23
43,1,0,0,171,red,1989,T23
44,1,0,0,171,red,1989,T23
45,1,0,0,171,red,1989,T23
46,1,0,0,171,red,1989,T23
47,1,0,0,171,red,1989,T23
48,1,0,0,171,red,1989,T23
49,1,0,0,171,red,1989,T23
50,1,0,0,171,red,1989,T23
51,1,0,0,171,red,1989,T23
52,1,0,0,171,red,1989,T23
53,1,0,0,171,red,1989,T23
54,1,0,0,171,red,1989,T23
55,1,0,0,171,red,1989,T23
56,1,0,0,171,red,1989,T23
57,1,0,0,171,red,1989,T23
58,1,0,0,171,red,1989,T23
59,1,0,0,171,red,1989,T23
60,1,0,0,171,red,1989,T23
61,1,0,0,171,red,1989,T23
62,1,0,0,171,red,1989,T23
63,1,0,0,171,red,1989,T23
64,1,0,0,171,red,1989,T23
65,1,0,0,171,red,1989,T23
66,1,0,0,171,red,1989,T23
67,1,0,0,171,red,1989,T23
68,1,0,0,171,red,1989,T23
69,1,0,0,171,red,1989,T23
70,1,0,0,171,red,1989,T23
71,1,0,0,171,red,1989,T23
72,1,0,0,171,red,1989,T23
73,1,0,0,171,red,1989,T23
74,1,0,0,171,red,1989,T23
75,1,0,0,171,red,1989,T23
76,1,0,0,171,red,1989,T23
77,1,0,0,171,red,1989,T23
78,1,0,0,171,red,1989,T23
79,1,0,0,171,red,1989,T23
80,1,0,0,171,red,1989,T23
81,1,0,0,171,red,1989,T23
82,1,0,0,171,red,1989,T23
83,1,0,0,171,red,1989,T23
84,1,0,0,171,red,1989,T23
85,1,0,0,171,red,1989,T23
86,1,0,0,171,red,1989,T23
87,1,0,0,171,red,1989,T23
88,1,0,0,171,red,1989,T23
89,1,0,0,171,red,1989,T23
90,1,0,0,171,red,1989,T23
91,1,0,0,171,red,1989,T23
92,1,0,0,171,red,1989,T23
93,1,0,0,171,red,1989,T23
94,1,0,0,171,red,1989,T23
95,1,0,0,171,red,1989,T23
96,1,0,0,171,red,1989,T23
97,1,0,0,171,red,1989,T23
98,1,0,0,171,red,1989,T23
99,1,0,0,171,red,1989,T23
100,1,0,0,171,red,1989,T23
101,1,0,0,171,red,1989,T23
102,1,0,0,171,red,1989,T23
103,1,0,0,171,red,1989,T23
104,1,0,0,171,red,1989,T23
105,1,0,0,171,red,1989,T23
106,1,0,0,171,red,1989,T23
107,1,0,0,171,red,1989,T23
108,1,0,0,171,red,1989,T23
109,1,0,0,171,red,1989,T23
110,1,0,0,171,red,1989,T23
111,1,0,0,171,red,1989,T23
112,1,0,0,171,red,1989,T23
113,1,0,0,171,red,1989,T23
114,1,0,0,171,red,1989,T23
115,1,0,0,171,red,1989,T23
116,1,0,0,171,red,1989,T23
117,1,0,0,171,red,1989,T23
118,1,0,0,171,red,1989,T23
119,1,0,0,171,red,1989,T23
120,1,0,0,171,red,1989,T23
121,1,0,0,171,red,1989,T23
122,1,0,0,171,red,1989,T23
123,1,0,0,171,red,1989,T23
124,1,0,0,171,red,1989,T23
125,1,0,0,171,red,1989,T23
126,1,0,0,171,red,1989,T23
127,1,0,0,171,red,1989,T23
0,0,0,1,172,red,1953,T23
1,0,0,1,172,red,1953,T23
2,0,0,1,172,red,1953,T23
3,0,0,1,172,red,1953,T23
4,0,0,1,172,red,1953,T23
5,0,0,1,172,red,1953,T23
6,0,0,1,172,red,1953,T23
7,0,0,1,172,red,1953,T23
8,0,0,1,172,red,1953,T23
9,0,0,1,172,red,1953,T23
10,0,0,1,172,red,1953,T23
11,0,0,1,172,red,1953,T23
12,0,0,1,172,red,1953,T23
13,0,0,1,172,red,1953,T23
14,0,0,1,172,red,1953,T23
15,0,0,1,172,red,1953,T23
16,0,0,1,172,red,1953,T23
17,0,0,1,172,red,1953,T23
18,0,0,1,172,red,1953,T23
19,0,0,1,172,red,1953,T23
20,0,0,1,172,red,1953,T23
21,0,0,1,172,red,1953,T23
22,0,0,1,172,red,1953,T23
23,0,0,1,172,red,1953,T23
24,0,0,1,172,red,1953,T23
25,0,0,1,172,red,1953,T23
26,0,0,1,172,red,1953,T23
27,0,0,1,172,red,1953,T23
28,0,0,1,172,red,1953,T23
29,0,0,1,172,red,1953,T23
30,0,0,1,172,red,1953,T23
31,0,0,1,172,red,1953,T23
32,0,0,1,172,red,1953,T23
33,0,0,1,172,red,1953,T23
34,0,0,1,172,red,1953,T23
35,1,0,0,172,red,1953,T23
36,1,0,0,172,red,1953,T23
37,1,0,0,172,red,1953,T23
38,1,0,0,172,red,1953,T23
39,1,0,0,172,red,1953,T23
40,1,0,0,172,red,1953,T23
41,1,0,0,172,red,1953,T23
42,1,0,0,172,red,1953,T23
43,1,0,0,172,red,1953,T23
44,1,0,0,172,red,1953,T23
45,1,0,0,172,red,1953,T23
46,1,0,0,172,red,1953,T23
47,1,0,0,172,red,1953,T23
48,1,0,0,172,red,1953,T23
49,1,0,0,172,red,1953,T23
50,1,0,0,172,red,1953,T23
51,1,0,0,172,red,1953,T23
52,1,0,0,172,red,1953,T23
53,1,0,0,172,red,1953,T23
54,1,0,0,172,red,1953,T23
55,1,0,0,172,red,1953,T23
56,1,0,0,172,red,1953,T23
57,1,0,0,172,red,1953,T23
58,1,0,0,172,red,1953,T23
59,1,0,0,172,red,1953,T23
60,1,0,0,172,red,1953,T23
61,1,0,0,172,red,1953,T23
62,1,0,0,172,red,1953,T23
63,1,0,0,172,red,1953,T23
64,1,0,0,172,red,1953,T23
65,1,0,0,172,red,1953,T23
66,1,0,0,172,red,1953,T23
67,1,0,0,172,red,1953,T23
68,1,0,0,172,red,1953,T23
69,1,0,0,172,red,1953,T23
70,1,0,0,172,red,1953,T23
71,1,0,0,172,red,1953,T23
72,1,0,0,172,red,1953,T23
73,1,0,0,172,red,1953,T23
74,1,0,0,172,red,1953,T23
75,1,0,0,172,red,1953,T23
76,1,0,0,172,red,1953,T23
77,1,0,0,172,red,1953,T23
78,1,0,0,172,red,1953,T23
79,1,0,0,172,red,1953,T23
80,1,0,0,172,red,1953,T23
81,1,0,0,172,red,1953,T23
82,1,0,0,172,red,1953,T23
83,1,0,0,172,red,1953,T23
84,1,0,0,172,red,1953,T23
85,1,0,0,172,red,1953,T23
86,1,0,0,172,red,1953,T23
87,1,0,0,172,red,1953,T23
88,1,0,0,172,red,1953,T23
89,1,0,0,172,red,1953,T23
90,1,0,0,172,red,1953,T23
91,1,0,0,172,red,1953,T23
92,1,0,0,172,red,1953,T23
93,1,0,0,172,red,1953,T23
94,1,0,0,172,red,1953,T23
95,1,0,0,172,red,1953,T23
96,1,0,0,172,red,1953,T23
97,1,0,0,172,red,1953,T23
98,1,0,0,172,red,1953,T23
99,1,0,0,172,red,1953,T23
100,1,0,0,172,red,1953,T23
101,1,0,0,172,red,1953,T23
102,1,0,0,172,red,1953,T23
103,1,0,0,172,red,1953,T23
104,1,0,0,172,red,1953,T23
105,1,0,0,172,red,1953,T23
106,1,0,0,172,red,1953,T23
107,1,0,0,172,red,1953,T23
108,1,0,0,172,red,1953,T23
109,1,0,0,172,red,1953,T23
110,1,0,0,172,red,1953,T23
111,1,0,0,172,red,1953,T23
112,1,0,0,172,red,1953,T23
113,1,0,0,172,red,1953,T23
114,1,0,0,172,red,1953,T23
115,1,0,0,172,red,1953,T23
116,1,0,0,172,red,1953,T23
117,1,0,0,172,red,1953,T23
118,1,0,0,172,red,1953,T23
119,1,0,0,172,red,1953,T23
120,1,0,0,172,red,1953,T23
121,1,0,0,172,red,1953,T23
122,1,0,0,172,red,1953,T23
123,1,0,0,172,red,1953,T23
124,1,0,0,172,red,1953,T23
125,1,0,0,172,red,1953,T23
126,1,0,0,172,red,1953,T23
127,1,0,0,172,red,1953,T23
0,0,0,1,173,red,2044,T23
1,0,0,1,173,red,2044,T23
2,0,0,1,173,red,2044,T23
3,0,0,1,173,red,2044,T23
4,0,0,1,173,red,2044,T23
5,0,0,1,173,red,2044,T23
6,0,0,1,173,red,2044,T23
7,0,0,1,173,red,2044,T23
8,0,0,1,173,red,2044,T23
9,0,0,1,173,red,2044,T23
10,0,0,1,173,red,2044,T23
11,0,0,1,173,red,2044,T23
12,0,0,1,173,red,2044,T23
13,0,0,1,173,red,2044,T23
14,0,0,1,173,red,2044,T23
15,0,0,1,173,red,2044,T23
16,0,0,1,173,red,2044,T23
17,0,0,1,173,red,2044,T23
18,0,0,1,173,red,2044,T23
19,0,0,1,173,red,2044,T23
20,0,0,1,173,red,2044,T23
21,0,0,1,173,red,2044,T23
22,0,0,1,173,red,2044,T23
23,0,0,1,173,red,2044,T23
24,1,0,0,173,red,2044,T23
25,1,0,0,173,red,2044,T23
26,1,0,0,173,red,2044,T23
27,1,0,0,173,red,2044,T23
28,1,0,0,173,red,2044,T23
29,1,0,0,173,red,2044,T23
30,1,0,0,173,red,2044,T23
31,1,0,0,173,red,2044,T23
32,1,0,0,173,red,2044,T23
33,1,0,0,173,red,2044,T23
34,1,0,0,173,red,2044,T23
35,1,0,0,173,red,2044,T23
36,1,0,0,173,red,2044,T23
37,1,0,0,173,red,2044,T23
38,1,0,0,173,red,2044,T23
39,1,0,0,173,red,2044,T23
40,1,0,0,173,red,2044,T23
41,1,0,0,173,red,2044,T23
42,1,0,0,173,red,2044,T23
43,1,0,0,173,red,2044,T23
44,1,0,0,173,red,2044,T23
45,1,0,0,173,red,2044,T23
46,1,0,0,173,red,2044,T23
47,1,0,0,173,red,2044,T23
48,1,0,0,173,red,2044,T23
49,1,0,0,173,red,2044,T23
50,1,0,0,173,red,2044,T23
51,1,0,0,173,red,2044,T23
52,1,0,0,173,red,2044,T23
53,1,0,0,173,red,2044,T23
54,1,0,0,173,red,2044,T23
55,1,0,0,173,red,2044,T23
56,1,0,0,173,red,2044,T23
57,1,0,0,173,red,2044,T23
58,1,0,0,173,red,2044,T23
59,1,0,0,173,red,2044,T23
60,1,0,0,173,red,2044,T23
61,1,0,0,173,red,2044,T23
62,1,0,0,173,red,2044,T23
63,1,0,0,173,red,2044,T23
64,1,0,0,173,red,2044,T23
65,1,0,0,173,red,2044,T23
66,1,0,0,173,red,2044,T23
67,1,0,0,173,red,2044,T23
68,1,0,0,173,red,2044,T23
69,1,0,0,173,red,2044,T23
70,1,0,0,173,red,2044,T23
71,1,0,0,173,red,2044,T23
72,1,0,0,173,red,2044,T23
73,1,0,0,173,red,2044,T23
74,1,0,0,173,red,2044,T23
75,1,0,0,173,red,2044,T23
76,1,0,0,173,red,2044,T23
77,1,0,0,173,red,2044,T23
78,1,0,0,173,red,2044,T23
79,1,0,0,173,red,2044,T23
80,1,0,0,173,red,2044,T23
81,1,0,0,173,red,2044,T23
82,1,0,0,173,red,2044,T23
83,1,0,0,173,red,2044,T23
84,1,0,0,173,red,2044,T23
85,1,0,0,173,red,2044,T23
86,1,0,0,173,red,2044,T23
87,1,0,0,173,red,2044,T23
88,1,0,0,173,red,2044,T23
89,1,0,0,173,red,2044,T23
90,1,0,0,173,red,2044,T23
91,1,0,0,173,red,2044,T23
92,1,0,0,173,red,2044,T23
93,1,0,0,173,red,2044,T23
94,1,0,0,173,red,2044,T23
95,1,0,0,173,red,2044,T23
96,1,0,0,173,red,2044,T23
97,1,0,0,173,red,2044,T23
98,1,0,0,173,red,2044,T23
99,1,0,0,173,red,2044,T23
100,1,0,0,173,red,2044,T23
101,1,0,0,173,red,2044,T23
102,1,0,0,173,red,2044,T23
103,1,0,0,173,red,2044,T23
104,1,0,0,173,red,2044,T23
105,1,0,0,173,red,2044,T23
106,1,0,0,173,red,2044,T23
107,1,0,0,173,red,2044,T23
108,1,0,0,173,red,2044,T23
109,1,0,0,173,red,2044,T23
110,1,0,0,173,red,2044,T23
111,1,0,0,173,red,2044,T23
112,1,0,0,173,red,2044,T23
113,1,0,0,173,red,2044,T23
114,1,0,0,173,red,2044,T23
115,1,0,0,173,red,2044,T23
116,1,0,0,173,red,2044,T23
117,1,0,0,173,red,2044,T23
118,1,0,0,173,red,2044,T23
119,1,0,0,173,red,2044,T23
120,1,0,0,173,red,2044,T23
121,1,0,0,173,red,2044,T23
122,1,0,0,173,red,2044,T23
123,1,0,0,173,red,2044,T23
124,1,0,0,173,red,2044,T23
125,1,0,0,173,red,2044,T23
126,1,0,0,173,red,2044,T23
127,1,0,0,173,red,2044,T23
0,0,0,1,174,red,2169,T23
1,0,0,1,174,red,2169,T23
2,0,0,1,174,red,2169,T23
